seq_id,start,end,strand,feat_id,feat_type,gene,desc
"REL606",22208,22912,-1,"ECB_00022","gene","ECB_00022",""
"REL606",22208,22912,-1,"ECB_00022","CDS","ECB_00022","conserved hypothetical protein"
"REL606",23291,24058,1,,"repeat_region","IS1","repeat region"
"REL606",23346,23621,1,"ECB_00023","gene","insA-1",""
"REL606",23346,23621,1,"ECB_00023","CDS","insA-1","IS1 protein InsA"
"REL606",23540,24043,1,"ECB_00024","gene","insB-1",""
"REL606",23540,24043,1,"ECB_00024","CDS","insB-1","IS1 protein InsB"
"REL606",24054,24404,-1,"ECB_00025","gene","ECB_00025",""
"REL606",24054,24404,-1,"ECB_00025","CDS","ECB_00025","conserved hypothetical protein"
"REL606",24701,24865,-1,"ECB_00026","gene","ECB_00026",""
"REL606",24701,24865,-1,"ECB_00026","CDS","ECB_00026","hypothetical protein"
"REL606",24887,25150,-1,"ECB_00027","gene","rpsT",""
"REL606",24887,25150,-1,"ECB_00027","CDS","rpsT","30S ribosomal protein S20"
"REL606",25253,25471,1,"ECB_00028","gene","yaaY",""
"REL606",25253,25471,1,"ECB_00028","CDS","yaaY","hypothetical protein"
"REL606",25479,26420,1,"ECB_00029","gene","ribF",""
"REL606",25479,26420,1,"ECB_00029","CDS","ribF","putative regulator"
"REL606",26463,29279,1,"ECB_00030","gene","ileS",""
"REL606",26463,29279,1,"ECB_00030","CDS","ileS","isoleucyl-tRNA synthetase"
"REL606",29279,29773,1,"ECB_00031","gene","lspA",""
"REL606",29279,29773,1,"ECB_00031","CDS","lspA","signal peptidase II"
"REL606",29898,30347,1,"ECB_00032","gene","fkpB",""
"REL606",29898,30347,1,"ECB_00032","CDS","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)"
"REL606",30349,31299,1,"ECB_00033","gene","ispH",""
"REL606",30349,31299,1,"ECB_00033","CDS","ispH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"REL606",31365,32279,1,"ECB_00034","gene","rihC",""
"REL606",31365,32279,1,"ECB_00034","CDS","rihC","ribonucleoside hydrolase 3"
"REL606",32446,33267,1,"ECB_00035","gene","dapB",""
"REL606",32446,33267,1,"ECB_00035","CDS","dapB","dihydrodipicolinate reductase"
"REL606",33722,34870,1,"ECB_00036","gene","carA",""
"REL606",33722,34870,1,"ECB_00036","CDS","carA","carbamoyl-phosphate synthase small subunit"
"REL606",34888,38109,1,"ECB_00037","gene","carB",""
"REL606",34888,38109,1,"ECB_00037","CDS","carB","carbamoyl-phosphate synthase large subunit"
"REL606",38371,38766,1,"ECB_00038","gene","caiF",""
"REL606",38371,38766,1,"ECB_00038","CDS","caiF","DNA-binding transcriptional activator"
"REL606",38975,39565,-1,"ECB_00039","gene","caiE",""
"REL606",38975,39565,-1,"ECB_00039","CDS","caiE","predicted acyl transferase"
"REL606",39571,40464,-1,"ECB_00040","gene","caiD",""
"REL606",39571,40464,-1,"ECB_00040","CDS","caiD","carnitinyl-CoA dehydratase"
"REL606",40465,42033,-1,"ECB_00041","gene","caiC",""
"REL606",40465,42033,-1,"ECB_00041","CDS","caiC","crotonobetaine/carnitine-CoA ligase"
"REL606",42092,43308,-1,"ECB_00042","gene","caiB","frameshift"
"REL606",42092,42976,-1,"ECB_00042","CDS","caiB","crotonobetainyl-CoA:carnitineCoA-transferase; b0038_1"
"REL606",42889,43308,-1,"ECB_00042","CDS","caiB","crotonobetainyl-CoA:carnitineCoA-transferase; b0038_2"
"REL606",43437,44579,-1,"ECB_00043","gene","caiA",""
"REL606",43437,44579,-1,"ECB_00043","CDS","caiA","crotonobetaine reductase subunit II, FAD-binding"
"REL606",44610,46124,-1,"ECB_00044","gene","caiT",""
"REL606",44610,46124,-1,"ECB_00044","CDS","caiT","L-carnitine/gamma-butyrobetaine antiporter"
"REL606",46598,47368,1,"ECB_00045","gene","fixA",""
"REL606",46598,47368,1,"ECB_00045","CDS","fixA","predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain"
"REL606",47383,48324,1,"ECB_00046","gene","fixB",""
"REL606",47383,48324,1,"ECB_00046","CDS","fixB","predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like"
"REL606",48375,49661,1,"ECB_00047","gene","fixC",""
"REL606",48375,49661,1,"ECB_00047","CDS","fixC","predicted oxidoreductase with FAD/NAD(P)-binding domain"
"REL606",49658,49945,1,"ECB_00048","gene","fixX",""
"REL606",49658,49945,1,"ECB_00048","CDS","fixX","predicted 4Fe-4S ferredoxin-type protein"
"REL606",50002,51333,1,"ECB_00049","gene","yaaU",""
"REL606",50002,51333,1,"ECB_00049","CDS","yaaU","predicted transporter"
"REL606",51441,51971,1,"ECB_00050","gene","yabF",""
"REL606",51441,51971,1,"ECB_00050","CDS","yabF","glutathione-regulated potassium-efflux system ancillary protein"
"REL606",51964,53826,1,"ECB_00051","gene","kefC",""
"REL606",51964,53826,1,"ECB_00051","CDS","kefC","glutathione-regulated potassium-efflux system protein"
"REL606",54018,54497,1,"ECB_00052","gene","folA",""
"REL606",54018,54497,1,"ECB_00052","CDS","folA","dihydrofolate reductase"
"REL606",54575,55417,-1,"ECB_00053","gene","apaH",""
"REL606",54575,55417,-1,"ECB_00053","CDS","apaH","diadenosinetetraphosphatase"
"REL606",55424,55801,-1,"ECB_00054","gene","apaG",""
"REL606",55424,55801,-1,"ECB_00054","CDS","apaG","hypothetical protein"
"REL606",55804,56625,-1,"ECB_00055","gene","ksgA",""
"REL606",55804,56625,-1,"ECB_00055","CDS","ksgA","dimethyladenosine transferase"
"REL606",56622,57611,-1,"ECB_00056","gene","pdxA",""
"REL606",56622,57611,-1,"ECB_00056","CDS","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase"
"REL606",57611,58897,-1,"ECB_00057","gene","surA",""
"REL606",57611,58897,-1,"ECB_00057","CDS","surA","peptidyl-prolyl cis-trans isomerase (PPIase)"
"REL606",58950,61304,-1,"ECB_00058","gene","imp",""
"REL606",58950,61304,-1,"ECB_00058","CDS","imp","organic solvent tolerance protein precursor"
"REL606",61559,62374,1,"ECB_00059","gene","djlA",""
"REL606",61559,62374,1,"ECB_00059","CDS","djlA","Dna-J like membrane chaperone protein"
"REL606",62491,63150,-1,"ECB_00060","gene","rluA",""
"REL606",62491,63150,-1,"ECB_00060","CDS","rluA","pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)"
"REL606",63162,66068,-1,"ECB_00061","gene","hepA",""
"REL606",63162,66068,-1,"ECB_00061","CDS","hepA","ATP-dependent helicase HepA"
"REL606",66233,68584,-1,"ECB_00062","gene","polB",""
"REL606",66233,68584,-1,"ECB_00062","CDS","polB","DNA polymerase II"
"REL606",68659,69354,-1,"ECB_00063","gene","araD",""
"REL606",68659,69354,-1,"ECB_00063","CDS","araD","L-ribulose-5-phosphate 4-epimerase"
"REL606",69639,71141,-1,"ECB_00064","gene","araA",""
"REL606",69639,71141,-1,"ECB_00064","CDS","araA","L-arabinose isomerase"
"REL606",71152,72852,-1,"ECB_00065","gene","araB",""
"REL606",71152,72852,-1,"ECB_00065","CDS","araB","ribulokinase"
"REL606",73191,74069,1,"ECB_00066","gene","araC",""
"REL606",73191,74069,1,"ECB_00066","CDS","araC","DNA-binding transcriptional dual regulator"
"REL606",74155,74919,1,"ECB_00067","gene","yabI",""
"REL606",74155,74919,1,"ECB_00067","CDS","yabI","conserved inner membrane protein"
"REL606",75033,75731,-1,"ECB_00068","gene","yabJ",""
"REL606",75033,75731,-1,"ECB_00068","CDS","yabJ","thiamin transporter subunit"
"REL606",75715,77325,-1,"ECB_00069","gene","thiP",""
"REL606",75715,77325,-1,"ECB_00069","CDS","thiP","thiamin ABC transporter membrane protein"
"REL606",77301,78284,-1,"ECB_00070","gene","tbpA",""
"REL606",77301,78284,-1,"ECB_00070","CDS","tbpA","thiamin transporter subunit"
"REL606",78448,80103,-1,"ECB_00071","gene","yabN",""
"REL606",78448,80103,-1,"ECB_00071","CDS","yabN","DNA-binding transcriptional regulator"
"REL606",80425,81603,1,"ECB_00072","gene","setA",""
"REL606",80425,81603,1,"ECB_00072","CDS","setA","broad specificity sugar efflux system"
"REL606",81652,82257,-1,"ECB_00073","gene","leuD",""
"REL606",81652,82257,-1,"ECB_00073","CDS","leuD","isopropylmalate isomerase small subunit"
"REL606",82268,83668,-1,"ECB_00074","gene","leuC",""
"REL606",82268,83668,-1,"ECB_00074","CDS","leuC","isopropylmalate isomerase large subunit"
"REL606",83671,84762,-1,"ECB_00075","gene","leuB",""
"REL606",83671,84762,-1,"ECB_00075","CDS","leuB","3-isopropylmalate dehydrogenase"
"REL606",84762,86333,-1,"ECB_00076","gene","leuA",""
"REL606",84762,86333,-1,"ECB_00076","CDS","leuA","2-isopropylmalate synthase"
"REL606",86426,86512,-1,"ECB_00077","gene","leuL",""
"REL606",86426,86512,-1,"ECB_00077","CDS","leuL","leu operon leader peptide"
"REL606",87172,88116,1,"ECB_00078","gene","leuO",""
"REL606",87172,88116,1,"ECB_00078","CDS","leuO","leucine transcriptional activator"
"REL606",88434,90158,1,"ECB_00079","gene","ilvI",""
"REL606",88434,90158,1,"ECB_00079","CDS","ilvI","acetolactate synthase III large subunit"
"REL606",90161,90652,1,"ECB_00080","gene","ilvH",""
"REL606",90161,90652,1,"ECB_00080","CDS","ilvH","acetolactate synthase small subunit"
"REL606",90832,91836,1,"ECB_00081","gene","fruR",""
"REL606",90832,91836,1,"ECB_00081","CDS","fruR","DNA-binding transcriptional dual regulator"
"REL606",92438,92896,1,"ECB_00082","gene","yabB",""
"REL606",92438,92896,1,"ECB_00082","CDS","yabB","hypothetical protein"
"REL606",92898,93839,1,"ECB_00083","gene","mraW",""
"REL606",92898,93839,1,"ECB_00083","CDS","mraW","S-adenosyl-methyltransferase"
"REL606",93836,94201,1,"ECB_00084","gene","ftsL",""
"REL606",93836,94201,1,"ECB_00084","CDS","ftsL","membrane bound cell division protein at septum containing leucine zipper motif"
"REL606",94217,95983,1,"ECB_00085","gene","ftsI",""
"REL606",94217,95983,1,"ECB_00085","CDS","ftsI","transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)"
"REL606",95970,97457,1,"ECB_00086","gene","murE",""
"REL606",95970,97457,1,"ECB_00086","CDS","murE","UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase"
"REL606",97454,98812,1,"ECB_00087","gene","murF",""
"REL606",97454,98812,1,"ECB_00087","CDS","murF","UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase"
"REL606",98806,99888,1,"ECB_00088","gene","mraY",""
"REL606",98806,99888,1,"ECB_00088","CDS","mraY","phospho-N-acetylmuramoyl-pentapeptide- transferase"
"REL606",99891,101207,1,"ECB_00089","gene","murD",""
"REL606",99891,101207,1,"ECB_00089","CDS","murD","UDP-N-acetylmuramoyl-L-alanyl-D- glutamatesynthetase"
"REL606",101207,102451,1,"ECB_00090","gene","ftsW",""
"REL606",101207,102451,1,"ECB_00090","CDS","ftsW","integral membrane protein involved in stabilizing FstZ ring during cell division"
"REL606",102448,103515,1,"ECB_00091","gene","murG",""
"REL606",102448,103515,1,"ECB_00091","CDS","murG","N-acetylglucosaminyl transferase"
"REL606",103569,105044,1,"ECB_00092","gene","murC",""
"REL606",103569,105044,1,"ECB_00092","CDS","murC","UDP-N-acetylmuramate-L-alanine ligase"
"REL606",105037,105957,1,"ECB_00093","gene","ddl",""
"REL606",105037,105957,1,"ECB_00093","CDS","ddl","D-alanylalanine synthetase"
"REL606",105959,106789,1,"ECB_00094","gene","ftsQ",""
"REL606",105959,106789,1,"ECB_00094","CDS","ftsQ","membrane anchored protein involved in growth of wall at septum"
"REL606",106786,108048,1,"ECB_00095","gene","ftsA",""
"REL606",106786,108048,1,"ECB_00095","CDS","ftsA","cell division protein"
"REL606",108109,109260,1,"ECB_00096","gene","ftsZ",""
"REL606",108109,109260,1,"ECB_00096","CDS","ftsZ","cell division protein FtsZ"
"REL606",109361,110278,1,"ECB_00097","gene","lpxC",""
"REL606",109361,110278,1,"ECB_00097","CDS","lpxC","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase"
"REL606",110509,111021,1,"ECB_00098","gene","yacA",""
"REL606",110509,111021,1,"ECB_00098","CDS","yacA","SecA regulator SecM"
"REL606",111083,113788,1,"ECB_00099","gene","secA",""
"REL606",111083,113788,1,"ECB_00099","CDS","secA","translocase"
"REL606",113848,114237,1,"ECB_00100","gene","mutT",""
"REL606",113848,114237,1,"ECB_00100","CDS","mutT","nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP"
"REL606",114453,114650,-1,"ECB_00101","gene","yacG",""
"REL606",114453,114650,-1,"ECB_00101","CDS","yacG","zinc-binding protein"
"REL606",114660,115403,-1,"ECB_00102","gene","yacF",""
"REL606",114660,115403,-1,"ECB_00102","CDS","yacF","hypothetical protein"
"REL606",115403,116023,-1,"ECB_00103","gene","coaE",""
"REL606",115403,116023,-1,"ECB_00103","CDS","coaE","dephospho-CoA kinase"
"REL606",116248,117291,1,"ECB_00104","gene","guaC",""
"REL606",116248,117291,1,"ECB_00104","CDS","guaC","guanosine 5'-monophosphate oxidoreductase"
"REL606",117326,118528,-1,"ECB_00105","gene","hofC",""
"REL606",117326,118528,-1,"ECB_00105","CDS","hofC","assembly protein in type IV pilin biogenesis, transmembrane protein"
"REL606",118518,119903,-1,"ECB_00106","gene","hofB",""
"REL606",118518,119903,-1,"ECB_00106","CDS","hofB","conserved protein with nucleoside triphosphate hydrolase domain"
"REL606",119913,120353,-1,"ECB_00107","gene","ppdD",""
"REL606",119913,120353,-1,"ECB_00107","CDS","ppdD","predicted major pilin subunit"
"REL606",120556,121449,-1,"ECB_00108","gene","nadC",""
"REL606",120556,121449,-1,"ECB_00108","CDS","nadC","nicotinate-nucleotide pyrophosphorylase"
"REL606",121537,122088,1,"ECB_00109","gene","ampD",""
"REL606",121537,122088,1,"ECB_00109","CDS","ampD","N-acetyl-anhydromuranmyl-L-alanine amidase"
"REL606",122085,122939,1,"ECB_00110","gene","ampE",""
"REL606",122085,122939,1,"ECB_00110","CDS","ampE","predicted inner membrane protein"
"REL606",122982,124355,-1,"ECB_00111","gene","aroP",""
"REL606",122982,124355,-1,"ECB_00111","CDS","aroP","aromatic amino acid transporter"
"REL606",124896,125660,1,"ECB_00112","gene","pdhR",""
"REL606",124896,125660,1,"ECB_00112","CDS","pdhR","transcriptional regulator of pyruvate dehydrogenase complex"
"REL606",125821,128484,1,"ECB_00113","gene","aceE",""
"REL606",125821,128484,1,"ECB_00113","CDS","aceE","pyruvate dehydrogenase subunit E1"
"REL606",128499,130391,1,"ECB_00114","gene","aceF",""
"REL606",128499,130391,1,"ECB_00114","CDS","aceF","dihydrolipoamide acetyltransferase"
"REL606",130716,132140,1,"ECB_00115","gene","lpdA",""
"REL606",130716,132140,1,"ECB_00115","CDS","lpdA","dihydrolipoamide dehydrogenase"
"REL606",132211,134064,-1,"ECB_00116","gene","yacH",""
"REL606",132211,134064,-1,"ECB_00116","CDS","yacH","hypothetical protein"
"REL606",134419,137016,1,"ECB_00117","gene","acnB",""
"REL606",134419,137016,1,"ECB_00117","CDS","acnB","aconitate hydratase"
"REL606",137191,137553,1,"ECB_00118","gene","yacL",""
"REL606",137191,137553,1,"ECB_00118","CDS","yacL","hypothetical protein"
"REL606",137591,138385,-1,"ECB_00119","gene","speD",""
"REL606",137591,138385,-1,"ECB_00119","CDS","speD","S-adenosylmethionine decarboxylase proenzyme"
"REL606",138401,139267,-1,"ECB_00120","gene","speE",""
"REL606",138401,139267,-1,"ECB_00120","CDS","speE","spermidine synthase"
"REL606",139373,139720,-1,"ECB_00121","gene","yacC",""
"REL606",139373,139720,-1,"ECB_00121","CDS","yacC","hypothetical protein"
"REL606",139886,141436,1,"ECB_00122","gene","cueO",""
"REL606",139886,141436,1,"ECB_00122","CDS","cueO","multicopper oxidase (laccase)"
"REL606",141638,144028,-1,"ECB_00123","gene","gcd",""
"REL606",141638,144028,-1,"ECB_00123","CDS","gcd","glucose dehydrogenase"
"REL606",144234,144770,1,"ECB_00124","gene","hpt",""
"REL606",144234,144770,1,"ECB_00124","CDS","hpt","hypoxanthine-guanine phosphoribosyltransferase"
"REL606",144811,145473,-1,"ECB_00125","gene","yadF",""
"REL606",144811,145473,-1,"ECB_00125","CDS","yadF","carbonic anhydrase"
"REL606",145582,146508,1,"ECB_00126","gene","yadG",""
"REL606",145582,146508,1,"ECB_00126","CDS","yadG","predicted transporter subunit: ATP-binding component of ABC superfamily"
"REL606",146505,147275,1,"ECB_00127","gene","yadH",""
"REL606",146505,147275,1,"ECB_00127","CDS","yadH","predicted transporter subunit: membrane component of ABC superfamily"
"REL606",147380,147820,1,"ECB_00128","gene","yadI",""
"REL606",147380,147820,1,"ECB_00128","CDS","yadI","predicted PTS Enzyme IIA"
"REL606",147884,149113,1,"ECB_00129","gene","yadE",""
"REL606",147884,149113,1,"ECB_00129","CDS","yadE","predicted polysaccharide deacetylase lipoprotein"
"REL606",149117,149497,-1,"ECB_00130","gene","panD",""
"REL606",149117,149497,-1,"ECB_00130","CDS","panD","aspartate 1-decarboxylase precursor"
"REL606",149771,150673,1,"ECB_00131","gene","yadD",""
"REL606",149771,150673,1,"ECB_00131","CDS","yadD","predicted transposase"
"REL606",150747,151598,-1,"ECB_00132","gene","panC",""
"REL606",150747,151598,-1,"ECB_00132","CDS","panC","pantoate-beta-alanine ligase"
"REL606",151610,152404,-1,"ECB_00133","gene","panB",""
"REL606",151610,152404,-1,"ECB_00133","CDS","panB","3-methyl-2-oxobutanoate hydroxymethyltransferase"
"REL606",152517,153863,-1,"ECB_00134","gene","yadC",""
"REL606",152517,153863,-1,"ECB_00134","CDS","yadC","predicted fimbrial-like adhesin protein"
"REL606",153844,154440,-1,"ECB_00135","gene","yadK",""
"REL606",153844,154440,-1,"ECB_00135","CDS","yadK","predicted fimbrial-like adhesin protein"
"REL606",154467,155069,-1,"ECB_00136","gene","yadL",""
"REL606",154467,155069,-1,"ECB_00136","CDS","yadL","predicted fimbrial-like adhesin protein"
"REL606",155084,155653,-1,"ECB_00137","gene","yadM",""
"REL606",155084,155653,-1,"ECB_00137","CDS","yadM","predicted fimbrial-like adhesin protein"
"REL606",155670,158270,-1,"ECB_00138","gene","htrE",""
"REL606",155670,158270,-1,"ECB_00138","CDS","htrE","predicted outer membrane usher protein"
"REL606",158305,159045,-1,"ECB_00139","gene","ecpD",""
"REL606",158305,159045,-1,"ECB_00139","CDS","ecpD","predicted periplasmic pilin chaperone"
"REL606",159150,159734,-1,"ECB_00140","gene","yadN",""
"REL606",159150,159734,-1,"ECB_00140","CDS","yadN","predicted fimbrial-like adhesin protein"
"REL606",160104,160583,-1,"ECB_00141","gene","folK",""
"REL606",160104,160583,-1,"ECB_00141","CDS","folK","2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase"
"REL606",160580,161944,-1,"ECB_00142","gene","pcnB",""
"REL606",160580,161944,-1,"ECB_00142","CDS","pcnB","poly(A) polymerase I"
"REL606",162037,162963,-1,"ECB_00143","gene","yadB",""
"REL606",162037,162963,-1,"ECB_00143","CDS","yadB","glutamyl-Q tRNA(Asp) synthetase"
"REL606",163000,163455,-1,"ECB_00144","gene","dksA",""
"REL606",163000,163455,-1,"ECB_00144","CDS","dksA","DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein"
"REL606",163633,164337,-1,"ECB_00145","gene","sfsA",""
"REL606",163633,164337,-1,"ECB_00145","CDS","sfsA","sugar fermentation stimulation protein A"
"REL606",164352,164882,-1,"ECB_00146","gene","ligT",""
"REL606",164352,164882,-1,"ECB_00146","CDS","ligT","2'-5' RNA ligase"
"REL606",164956,167385,1,"ECB_00147","gene","hrpB",""
"REL606",164956,167385,1,"ECB_00147","CDS","hrpB","predicted ATP-dependent helicase"
"REL606",167581,170106,1,"ECB_00148","gene","mrcB",""
"REL606",167581,170106,1,"ECB_00148","CDS","mrcB","penicillin-binding protein 1b"
"REL606",170326,172569,1,"ECB_00149","gene","fhuA",""
"REL606",170326,172569,1,"ECB_00149","CDS","fhuA","ferrichrome outer membrane transporter"
"REL606",172620,173417,1,"ECB_00150","gene","fhuC",""
"REL606",172620,173417,1,"ECB_00150","CDS","fhuC","iron-hydroxamate transporter subunit"
"REL606",173417,174307,1,"ECB_00151","gene","fhuD",""
"REL606",173417,174307,1,"ECB_00151","CDS","fhuD","iron-hydroxamate transporter subunit"
"REL606",174304,176286,1,"ECB_00152","gene","fhuB",""
"REL606",174304,176286,1,"ECB_00152","CDS","fhuB","fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components"
"REL606",176444,177724,-1,"ECB_00153","gene","hemL",""
"REL606",176444,177724,-1,"ECB_00153","CDS","hemL","glutamate-1-semialdehyde aminotransferase"
"REL606",177949,179370,1,"ECB_00154","gene","yadQ",""
"REL606",177949,179370,1,"ECB_00154","CDS","yadQ","chloride channel protein"
"REL606",179452,179796,1,"ECB_00155","gene","yadR",""
"REL606",179452,179796,1,"ECB_00155","CDS","yadR","hypothetical protein"
"REL606",179843,180466,-1,"ECB_00156","gene","yadS",""
"REL606",179843,180466,-1,"ECB_00156","CDS","yadS","conserved inner membrane protein"
"REL606",180504,181304,-1,"ECB_00157","gene","yadT",""
"REL606",180504,181304,-1,"ECB_00157","CDS","yadT","vitamin B12-transporter protein BtuF"
"REL606",181297,181995,-1,"ECB_00158","gene","pfs",""
"REL606",181297,181995,-1,"ECB_00158","CDS","pfs","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
"REL606",182079,183596,1,"ECB_00159","gene","dgt",""
"REL606",182079,183596,1,"ECB_00159","CDS","dgt","deoxyguanosinetriphosphate triphosphohydrolase"
"REL606",183726,185150,1,"ECB_00160","gene","degP",""
"REL606",183726,185150,1,"ECB_00160","CDS","degP","serine endoprotease (protease Do), membrane-associated"
"REL606",185305,186462,1,"ECB_00161","gene","cdaR",""
"REL606",185305,186462,1,"ECB_00161","CDS","cdaR","DNA-binding transcriptional activator"
"REL606",186551,186937,-1,"ECB_00162","gene","yaeH",""
"REL606",186551,186937,-1,"ECB_00162","CDS","yaeH","hypothetical protein"
"REL606",187099,187911,-1,"ECB_00163","gene","yaeI",""
"REL606",187099,187911,-1,"ECB_00163","CDS","yaeI","predicted phosphatase"
"REL606",187965,188789,-1,"ECB_00164","gene","dapD",""
"REL606",187965,188789,-1,"ECB_00164","CDS","dapD","2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"
"REL606",188820,191492,-1,"ECB_00165","gene","glnD",""
"REL606",188820,191492,-1,"ECB_00165","CDS","glnD","PII uridylyl-transferase"
"REL606",191554,192348,-1,"ECB_00166","gene","map",""
"REL606",191554,192348,-1,"ECB_00166","CDS","map","methionine aminopeptidase"
"REL606",192716,193441,1,"ECB_00167","gene","rpsB",""
"REL606",192716,193441,1,"ECB_00167","CDS","rpsB","30S ribosomal protein S2"
"REL606",193699,194550,1,"ECB_00168","gene","tsf",""
"REL606",193699,194550,1,"ECB_00168","CDS","tsf","elongation factor Ts"
"REL606",194697,195422,1,"ECB_00169","gene","pyrH",""
"REL606",194697,195422,1,"ECB_00169","CDS","pyrH","uridylate kinase"
"REL606",195714,196271,1,"ECB_00170","gene","frr",""
"REL606",195714,196271,1,"ECB_00170","CDS","frr","ribosome releasing factor"
"REL606",196363,197559,1,"ECB_00171","gene","ispC",""
"REL606",196363,197559,1,"ECB_00171","CDS","ispC","1-deoxy-D-xylulose 5-phosphate reductoisomerase"
"REL606",197745,198506,1,"ECB_00172","gene","uppS",""
"REL606",197745,198506,1,"ECB_00172","CDS","uppS","undecaprenyl pyrophosphate synthase"
"REL606",198519,199376,1,"ECB_00173","gene","cdsA",""
"REL606",198519,199376,1,"ECB_00173","CDS","cdsA","CDP-diglyceride synthase"
"REL606",199388,200740,1,"ECB_00174","gene","yaeL",""
"REL606",199388,200740,1,"ECB_00174","CDS","yaeL","zinc metallopeptidase"
"REL606",200770,203202,1,"ECB_00175","gene","yaeT",""
"REL606",200770,203202,1,"ECB_00175","CDS","yaeT","hypothetical protein"
"REL606",203324,203809,1,"ECB_00176","gene","hlpA",""
"REL606",203324,203809,1,"ECB_00176","CDS","hlpA","periplasmic chaperone"
"REL606",203813,204838,1,"ECB_00177","gene","lpxD",""
